dataset,lmbda,cluster_option,L,convergence_iter,optimum,time,seed,energy_list_file
Synthetic,10,kmeans,0.001,11,370.2968265618531,0.20670519999999826,5,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.001__lmb=10__seed=5.txt
Synthetic,10,kmeans,0.001,5,368.95095060586704,0.18557689999999738,6,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.001__lmb=10__seed=6.txt
Synthetic,10,kmeans,0.001,8,367.59690828726673,0.17174229999999824,7,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.001__lmb=10__seed=7.txt
Synthetic,10,kmeans,0.001,3,373.2395175576885,0.23188169999999886,8,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.001__lmb=10__seed=8.txt
Synthetic,10,kmeans,0.001,14,369.70712592392624,0.19272499999999937,9,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.001__lmb=10__seed=9.txt
Synthetic,10,kmeans,0.001,9,363.0234553325335,0.18771360000000215,10,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.001__lmb=10__seed=10.txt
Synthetic,10,ncut,0.001,5,-1.9999999999999862e+18,0.24320240000000126,1,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.001__lmb=10__seed=1.txt
Synthetic,10,ncut,0.001,4,-29987.117278438778,0.17842469999999722,2,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.001__lmb=10__seed=2.txt
Synthetic,10,ncut,0.001,5,-1.9999999999999862e+18,0.22378129999999885,3,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.001__lmb=10__seed=3.txt
Synthetic,10,ncut,0.001,4,-29987.117278438778,0.20534530000000117,4,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.001__lmb=10__seed=4.txt
Synthetic,10,ncut,0.001,5,-1.9999999999999862e+18,0.17827999999999733,5,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.001__lmb=10__seed=5.txt
Synthetic,10,ncut,0.001,5,-1.9999999999999862e+18,0.2566769000000022,6,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.001__lmb=10__seed=6.txt
Synthetic,10,ncut,0.001,5,-104789.82471538198,0.1792086000000026,7,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.001__lmb=10__seed=7.txt
Synthetic,10,ncut,0.001,5,-1.999999998558919,0.18644010000000222,8,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.001__lmb=10__seed=8.txt
Synthetic,10,ncut,0.001,5,-87463245.71830074,0.24564790000000158,9,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.001__lmb=10__seed=9.txt
Synthetic,10,ncut,0.001,5,-1.9999999999999862e+18,0.18400370000000166,10,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.001__lmb=10__seed=10.txt
Synthetic,10,kmedian,0.01,10,290.80875097446415,0.2439877999999993,1,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.01__lmb=10__seed=1.txt
Synthetic,10,kmedian,0.01,4,-1.9999999999999844e+18,0.23396250000000052,2,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.01__lmb=10__seed=2.txt
Synthetic,10,kmedian,0.01,14,293.8800989333986,0.20566009999999935,3,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.01__lmb=10__seed=3.txt
Synthetic,10,kmedian,0.01,4,-1.9999999999999844e+18,0.2606012,4,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.01__lmb=10__seed=4.txt
Synthetic,10,kmedian,0.01,14,288.69811169722107,0.20317619999999792,5,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.01__lmb=10__seed=5.txt
